date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:54	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202024%2017:43:53%20GMT	https://emmanuelportfolio-olive.vercel.app/robots.txt		(from )
18:43:55	125866/125866	---MCZ	200	added ('OK')	text/html	etag:W/%22ae9c33800964071a201b06349bc49064%22	https://emmanuelportfolio-olive.vercel.app/	C:/My%20Web%20Sites/jinawaportfolio/emmanuelportfolio-olive.vercel.app/index.html	(from )
18:43:56	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/My%20Web%20Sites/jinawaportfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://emmanuelportfolio-olive.vercel.app/)
18:43:57	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/jinawaportfolio/unpkg.com/aos@2.3.1/dist/aos.css	(from https://emmanuelportfolio-olive.vercel.app/)
18:43:57	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/jinawaportfolio/unpkg.com/aos@2.3.1/dist/aos.js	(from https://emmanuelportfolio-olive.vercel.app/)
18:43:59	23106/23106	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a42-7l/79z0w4WZtVmX0i+4CEoXPrc0%22	https://cdn.jsdelivr.net/npm/particles.js@2.0.0/particles.min.js	C:/My%20Web%20Sites/jinawaportfolio/cdn.jsdelivr.net/npm/particles.js@2.0.0/particles.min.js	(from https://emmanuelportfolio-olive.vercel.app/)
18:44:04	3761/3761	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Sep%202016%2014:59:38%20GMT	https://www.mysql.com/common/logos/logo-mysql-170x115.png	C:/My%20Web%20Sites/jinawaportfolio/www.mysql.com/common/logos/logo-mysql-170x115.png	(from https://emmanuelportfolio-olive.vercel.app/)
18:44:05	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202024%2017:44:04%20GMT	https://emmanuelportfolio-olive.vercel.app/assets/EMMANUEL%20JOHN%20(CV).pdf	C:/My%20Web%20Sites/jinawaportfolio/emmanuelportfolio-olive.vercel.app/assets/EMMANUEL%20JOHN%20(CV).6.delayed	(from https://emmanuelportfolio-olive.vercel.app/)
18:44:05	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202024%2017:44:04%20GMT	https://emmanuelportfolio-olive.vercel.app/path/to/chatbot-image.jpg	C:/My%20Web%20Sites/jinawaportfolio/emmanuelportfolio-olive.vercel.app/path/to/chatbot-image.7.delayed	(from https://emmanuelportfolio-olive.vercel.app/)
18:44:08	481662/481662	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2011:06:31%20GMT	https://i.ibb.co/N16CkGN/PRO-PROFILE.png	C:/My%20Web%20Sites/jinawaportfolio/i.ibb.co/N16CkGN/PRO-PROFILE.png	(from https://emmanuelportfolio-olive.vercel.app/)
